21-May-20 23:16:31 - Prover time taken is: 1.6898000000082902 ms
21-May-20 23:16:31 - Total time taken is: 2.224399999988691 ms
21-May-20 23:16:33 - Verifier time taken is: 0.4450000000133514 ms
21-May-20 23:16:33 - Prover time taken is: 1.7007000000148764 ms
21-May-20 23:16:33 - Total time taken is: 2.145700000028228 ms
21-May-20 23:16:35 - Verifier time taken is: 0.5347000000028856 ms
21-May-20 23:16:35 - Prover time taken is: 2.543799999955354 ms
21-May-20 23:16:35 - Total time taken is: 3.0784999999582396 ms
21-May-20 23:16:37 - Verifier time taken is: 0.6870999999932792 ms
21-May-20 23:16:37 - Prover time taken is: 2.359799999965162 ms
21-May-20 23:16:37 - Total time taken is: 3.046899999958441 ms
21-May-20 23:16:39 - Verifier time taken is: 0.7837999999651402 ms
21-May-20 23:16:39 - Prover time taken is: 2.450800000019626 ms
21-May-20 23:16:39 - Total time taken is: 3.2345999999847663 ms
21-May-20 23:16:41 - Verifier time taken is: 0.6472000000030675 ms
21-May-20 23:16:41 - Prover time taken is: 2.0254000000363703 ms
21-May-20 23:16:41 - Total time taken is: 2.672600000039438 ms
21-May-20 23:16:43 - Verifier time taken is: 0.695199999995566 ms
21-May-20 23:16:43 - Prover time taken is: 1.7338000000108877 ms
21-May-20 23:16:43 - Total time taken is: 2.4290000000064538 ms
21-May-20 23:16:45 - Verifier time taken is: 0.4761000000144122 ms
21-May-20 23:16:45 - Prover time taken is: 1.679599999988568 ms
21-May-20 23:16:45 - Total time taken is: 2.1557000000029802 ms
21-May-20 23:16:47 - Verifier time taken is: 1.3283999999771368 ms
21-May-20 23:16:47 - Prover time taken is: 3.1223999999951957 ms
21-May-20 23:16:47 - Total time taken is: 4.450799999972332 ms
21-May-20 23:16:49 - Verifier time taken is: 0.7401999999956388 ms
21-May-20 23:16:49 - Prover time taken is: 2.556100000049355 ms
21-May-20 23:16:49 - Total time taken is: 3.296300000044994 ms
